Team,Rating,PPG,OPPG,TO/Game,3 Pt. %,FT %,Steals/Game,OREB/Game,O Kill Shot?,D Kill Shot?,D Kill Shot (BAD),SOS,Pace of Play,NET Ranking,Normalized Pace,Normalized NET,New Rating,,"Top ""Kill-Shots"" (Account for its interaction with opponent)",,Kill Shots Allowed (Least),,Kill Shots Allowed (Most),,,,,,,
Alabama,37.83,91.5,79.2,12,0.381,0.791,7.5,11.4,1,0,1,3,74.1,7,0.916,0.017,31.16,,Houston,1,Utah State,1,Weber State,1,,,,,,
Arizona,27.45,89.9,72.9,11.6,0.369,0.727,8.5,12.5,1,0,0,41,73.8,4,0.895,0.008,27.45,,Gonzaga,1,Michigan State,1,Villanova,1,,,,Houston,1,26-3
Kentucky,26.71,88.8,78.3,10,0.407,0.766,8.1,8.3,0,0,0,60,73.8,20,0.895,0.053,26.71,,UConn,1,SMU,1,Miami,1,,,,Purdue,2,27-3
Samford,25.25,86.7,74.4,12.9,0.398,0.725,10.4,9.7,0,0,0,253,73.8,80,0.895,0.219,25.25,,JMU,1,Pittsburgh,1,Missouri,1,,,,UConn,3,26-3
Gonzaga,26.27,86.1,69.1,9.8,0.348,0.716,7,10.3,1,1,0,92,70.1,17,0.636,0.044,30.27,,Youngstown,1,San Diego State,1,Michigan,1,,,,Arizona,4,23-6
Wright State,20.18,85.9,80.4,11.5,0.38,0.762,6.2,7.7,0,0,0,266,72.2,145,0.783,0.400,20.18,,Arizona,1,Boise State,1,Notre Dame,1,,,,Tennessee,5,23-6
High Point,22.47,85,74.4,10.5,0.35,0.78,5.2,11.3,0,0,0,351,69.2,107,0.573,0.294,22.47,,Marquette,1,Indiana State,1,LSU,1,,,,Auburn,6,23-7
Purdue,29.67,84.8,70,11.1,0.402,0.722,5.8,11.6,0,1,0,8,69.3,2,0.580,0.003,33.67,,Auburn,1,San Francisco,1,Georgia Tech,1,,,,Alabama,7,20-10
Florida,21.14,84.7,77,11.5,0.336,0.692,6.6,14.1,0,1,0,40,72.4,26,0.797,0.069,25.14,,UCSD,1,Memphis,1,Liberty,1,,,,Iowa St.,8,23-6
James Madison,26.56,84.6,69.1,10.5,0.357,0.711,9.2,10,0,0,0,312,71.5,53,0.734,0.144,26.56,,Iowa St.,1,Tennessee,1,Xavier,1,,,,Duke,9,24-6
Illinois,22.35,84.5,72.9,10.5,0.349,0.741,4.5,11.5,0,0,0,55,70.5,15,0.664,0.039,26.35,,Saint Marys,1,Duke,1,Rutgers,1,,,,North Carolina,10,24-6
Indiana State,23.16,84.4,71.9,11.7,0.381,0.791,6.3,6.2,0,1,0,141,71.3,30,0.720,0.081,27.16,,Creighton,1,Wisconsin,1,Texas Tech,1,,,,Creighton,11,22-8
Denver,19.84,83.9,81.8,10,0.36,0.745,6.4,8.8,0,0,0,276,70.8,269,0.685,0.744,19.84,,TCU,1,Oklahoma,1,Indiana,1,,,,BYU,12,21-8
